===FLAGS.datasource===: miniimagenet
FLAGS.datasource: miniimagenet
True
Generating filenames
Manipulating image data to be right shape
False
Generating filenames
Manipulating image data to be right shape
image_tensor:  (4, 80, 21168)
Done initializing, starting training.
Iteration 54400: 0.0, 1.0
Iteration 54500: 0.0, 1.0
Validation results: 0.15, 0.23666666
Totally results: , 0.24097859011877568
Iteration 54600: 0.25, 1.0
Iteration 54700: 0.25, 1.0
Iteration 54800: 0.2, 0.95000005
Iteration 54900: 0.25, 1.0
Iteration 55000: 0.25, 1.0
Validation results: 0.2, 0.26666665
Totally results: , 0.24121211794289676
Iteration 55100: 0.2, 1.0
Iteration 55200: 0.2, 1.0
Iteration 55300: 0.2, 1.0
Iteration 55400: 0.2, 1.0
Iteration 55500: 0.2, 1.0
Validation results: 0.3, 0.24333332
Totally results: , 0.24123122791449228
Iteration 55600: 0.1, 1.0
Iteration 55700: 0.1, 1.0
Iteration 55800: 0.1, 1.0
Iteration 55900: 0.1, 1.0
Iteration 56000: 0.1, 1.0
Validation results: 0.2, 0.22
Totally results: , 0.2410416633688978
Iteration 56100: 0.0, 1.0
Iteration 56200: 0.0, 1.0
Iteration 56300: 0.0, 1.0
Iteration 56400: 0.0, 1.0
Iteration 56500: 0.0, 1.0
Validation results: 0.25, 0.21000001
Totally results: , 0.24076695845717877
Iteration 56600: 0.1, 1.0
Iteration 56700: 0.1, 1.0
Iteration 56800: 0.1, 1.0
Iteration 56900: 0.1, 1.0
Iteration 57000: 0.1, 1.0
Validation results: 0.25, 0.22
Totally results: , 0.24058479214446588
Iteration 57100: 0.1, 1.0
Iteration 57200: 0.1, 1.0
Iteration 57300: 0.1, 1.0
Iteration 57400: 0.1, 1.0
Iteration 57500: 0.1, 1.0
Validation results: 0.2, 0.24666665
Totally results: , 0.24063767790794371
Iteration 57600: 0.0, 1.0
Iteration 57700: 0.0, 1.0
Iteration 57800: 0.0, 1.0
Iteration 57900: 0.0, 1.0
Iteration 58000: 0.0, 1.0
Validation results: 0.2, 0.25
Totally results: , 0.2407183875811511
Iteration 58100: 0.15, 1.0
Iteration 58200: 0.15, 1.0
Iteration 58300: 0.15, 1.0
Iteration 58400: 0.15, 1.0
Iteration 58500: 0.15, 1.0
Validation results: 0.15, 0.18666667
Totally results: , 0.24025640706730705
Iteration 58600: 0.25, 1.0
Iteration 58700: 0.25, 1.0
Iteration 58800: 0.25, 1.0
Iteration 58900: 0.2, 1.0
Iteration 59000: 0.25, 1.0
Validation results: 0.35, 0.19666666
Totally results: , 0.23988700241355573
Iteration 59100: 0.05, 1.0
Iteration 59200: 0.05, 1.0
Iteration 59300: 0.05, 1.0
Iteration 59400: 0.05, 1.0
Iteration 59500: 0.05, 1.0
Validation results: 0.3, 0.26333332
Totally results: , 0.24008403029762396
Iteration 59600: 0.15, 1.0
Iteration 59700: 0.15, 1.0
Iteration 59800: 0.15, 1.0
Iteration 59900: 0.15, 1.0
